processo_25,id
755,0151763-56.2025.8.16.0000
756,0021057-65.2010.8.16.0014
757,0149544-70.2025.8.16.0000
758,0149998-50.2025.8.16.0000
759,0085479-24.2025.8.16.0014
760,0080268-49.2025.8.16.0000
761,0013324-30.2025.8.16.0044
762,0040811-07.2025.8.16.0001
763,0098281-96.2025.8.16.0000
764,0084277-54.2025.8.16.0000
765,0038847-22.2025.8.16.0019
766,0051404-69.2024.8.16.0021
767,0042305-75.2024.8.16.0021
768,0010053-82.2025.8.16.0021
769,0052399-94.2018.8.16.0182
770,0042588-13.2018.8.16.0182
771,0004474-56.2025.8.16.0021
772,0002169-86.2023.8.16.0145
773,0149633-93.2025.8.16.0000
774,0003298-48.2025.8.16.0019
775,0136536-26.2025.8.16.0000
